Total,,,,,,,,,,,,,,,,,,
Paldor Peak,,,,,,,,,,,,,,,,,,
CouGanntjar-yla Chuli (Naya Kanga),,,,,,,,,,,,,,,,,,
Kongma Tse (Mehara Peak),,,,,,,,,,,,,,,,,,
Pisang,,,,,,,,,,,,,,,,,,
CroatiaRamdung - -  --,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,6,
Czech Re- 4public Lobu- j e  2 -,-,-,-,-,-,-,5,-,-,-,2,49,-,-,2,2,13,
Cyprus - -  --,-,-,-,-,-,-,-,-,-,-,-,,- -,-,-,-,1,
Pharc hDenmark - -  a mo 1 -,1,-,-,-,-,-,-,-,1,-,-,17,-,-,1,-,22,
EcuIamdjao rTse (Is l a- -  nd  P  e  ak)--,-,-,-,-,-,-,-,-,-,-,-,,- -,-,-,-,,-
Egypt,,,,,,,,,,,,,-,,-,-,2,-
Chulu -E  ast--,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,
Estonia,,,,,,,,,,,,2,,,10,-,8,-
Chulu W-  Finland France -  Kwangde1 7 est-- ---,--,-  -,-  -,-  -,-  -,-14 2,-15 -,--,--,-  -,--,14 175,-  -,-,- 10,-  21,28 202,9
Kusum Kangr- u  Germany 1 1 -,-1,-,-,-,-  1,2,6,-,-,-,-,182,-,-,4,5,168,27
Mera P-  eak Greece - -  --,-,-  -,-  -,-  -,-,-,-,--,--,-  -,--,3,-  -,-  -,-,-,1,
Guatemala Singu Chuli (F  l u  lted- -  -P e ak )-,-,-,-,-,-,-,-,-,-,-,-,,- -,-,-,-,1,
Hongkong Hiun c  h  uli- -  --,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,8,
Hungery Mt. Yubr  a- -  Hi m-al -,-,-,-,-,-,-,2,-,-,-,-,20,-,-,-,-,25,
Iceland Mt.  A- -  BI--,-,-,-,-,-,-,-,-,-,-,-,,- -,-,-,-,18,
India Mt. Lark y- -  a  P e  a  k --,-,-,-,-,-,-,-,-,-,-,-,50,-,-,1,-,54,
IndonMets.i Lobuj e a - -   W-e  st-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,4,-,4,
Iran Mt. Phar i- -  L ap  c  h a--,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,22,
Mt. Chekigo,,,,,,,,,,,,,,,,,,
Mt. Bokta,,,,,,,,,,,,,,,,,,
Mt. Ombigaichen,,,,,,,,,,,,,,,,,,
Mt. Langsisa Ri,,,,,,,,,,,,,,,,,,
Mt. Nirekha,,,,,,,,,,,,,,,,,,
Kyazo Ri,,,,,,,,,,,,,,,,,,
Mt. Cholatse,,,,,,,,,,,,,,,,,,
