Nationality,2009,2010,2011,2012,2013,2014,20
Australia,"15,461","16,243","19,824","22,030",20469,24516,148
"%",3,2.7,2.7,2.7,3.5,3.1,2.
Bangladesh,,,,,22410,21851,148
"%",,,,,,,
Canada,"8,965","9,322","11,404","13,507",12132,11610,64
"%",1.8,1.5,1.5,1.7,1.7,1.5,1.
China,"32,272","46,360","61,917","71,861",113173,123805,646
"%",6.3,7.7,8.4,8.9,12.4,15.7,12
France,"22,154","24,550","26,720","28,805",21842,24097,108
"%",4.3,4.1,3.6,3.6,3.5,3.0,2.
Germany,"19,246","22,583","27,472","30,409",22263,18028,122
"%",3.8,3.7,3.7,3.8,3.5,2.3,2.
India,"93,884","120,898","149,504","165,815",180974,135343,751
"%",18.4,20.1,20.3,20.6,23.2,17.1,13
Italy,"7,982","10,226","12,621","14,614",9974,10347,39
"%",1.6,1.7,1.7,1.8,1.2,1.3,0.
Japan,"22,445","23,332","26,283","28,642",26694,25829,144
"%",4.4,3.9,3.6,3.6,3.3,3.3,2.
