Total,,,,,,,,,,,,,,,,,
Paldor Peak,,,,,,,,,,,,,,,,,
Country,,,,,,,,,,,,,,,,,
Ganja-la Chuli (Naya Kanga),,,,,,,,,,,,,,,,,
Kongma Tse (Mehara Peak),,,,,,,,,,,,,,,,,
Albania Pisang 1 3--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
RamdungAndorra - -  --,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,
Argentina Lobuje10-  --,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,
ArPmheanricahamo - -  --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Australia 3 3 1,9,,,,,2,,10,9,,4,96,,,2,8,177
Imja Tse (Island Peak) Austria 9 79-3,-,-  -,-  -,-  -,-  -,-,-11,-,-,-  -,-,60,-  -,-  -,-,11,
Brazil Chulu Eas t4-  --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
BCruhnuelui  West - -  --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
BulgKewraiangde 8-  --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Banglades Kusum Kang  r  u 4-  --,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
BeMlaeruras Peak 7-  --,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,
"",,,,,,,,,,,,,,,,,
SinBgue lCghiuulmi (Flulted P 16-  eak)--,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,
BoHliviuianchuli 1-  --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"",,,,,,,,,,,,,,,,,
MCat.n Yaudbara Him1 al 75--,-,-,-,-,-,13,-,-,-,-,1,29,-,-,-,1,
Chile,,,,,,,,,,,,2,,,,,6
Mt. ABIChina,,,4,,,6,,,,,,14,,,-,-,161
Mt. Larkya Pe-a  k Colombia --,-,-,,-,-,,-,-,-,-,-,,-,-,-,-,2
Mt. Lobuje W-e  st Costa Rica --,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Mt. Phari Lapc-  h a --,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,
Mt. Chekigo,,,,,,,,,,,,,,,,,
Mt. Bokta,,,,,,,,,,,,,,,,,
Mt. Ombigaichen,,,,,,,,,,,,,,,,,
Mt. Langsisa Ri,,,,,,,,,,,,,,,,,
Mt. Nirekha,,,,,,,,,,,,,,,,,
Kyazo Ri,,,,,,,,,,,,,,,,,
Mt. Cholatse,,,,,,,,,,,,,,,,,
