Mongolia,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,
MouLnitthauinania,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,
Himlung (7126m.),,,1,,2,,,,,6,,,2,1,6,,,
Japan,,,,,,,,,,,,,,,,,,
Himlung Himal,,,,,,,,,,,,,2,,2,,,
Italy,,,,,,,,,,,,,,,,,,
Jobo Rin-,,,,,,,,,,,,,,,,,,
jang(678Ir1emla.n) d,,,1,,,,,,,,,,,,,,,
Jomson (63Ir3a5nm.),,,,,,,,,,,,,3,,,,,
KanchanjIunndgiaa,,,,,,,,,,,,,,,,,,
"(8586m.I)celand",,1,,,,,,,1,1,,,,,1,2,,
Lang- Hungary,,,,,,,,,,,,,,,,,,
dung(6H3o2n6gm K.o) ng,,,,,,,,,,,,,,,,,,
Lhotse (8G5r1e6emce.),,1,,,,,,2,1,6,,,,,1,,,
Lhotse (8G56e-r1m6man.)y,,,,,,,,,,,,,,,,,,
Makalu (G8e4o6r3gmia.,,,,,,,,,,5,,,,,,,,
Makalu (8F4ra6n3mce.),,,,,,,,,,2,,,,,1,,,
Manaslu (8F1in63lamn.)d 1,2,5,1,,1,4,2,1,1,59,3,1,2,,1,2,,2
Mt. EveErensgtl and,,,,,,,,,,,,,,,,,,
"(8848m.)  Denmark",,4,1,1,,4,,3,1,14,2,,,,,,3,
Mt. Ever-Czech Republicest(8848m.),,,,,,1,,,1,1,,,,,,,,1
Mukot HCimroaalti a,,,,,,,,,,,,,,,,,,
"(6087m.)China",,,,,,,,,,,,,,,,,,
Mukot Peak,,,,,,,,,,,,,,,,,,
"(6087m.)Chile",,,,,,,,,,,,,2,,,,,
Nupla KhCangada,,,,,,,,,,,,,,,,,,
Pankar HBuimlgaalr ia,,,,,,,,,,,,,,,,,,
"(6264m.)",,,,,,,,,,,,,,,,,,
Britain,,,,,,,,,,,,,,,,,,
Peri Himal,,,,,,,,,,,,,,,,,,
"(6174m. Brazil",,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,
