Grand Total,,,,,,,,,,,,
Mountain,,,,,,,,,,,,
"(blank)",,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Jobo RinjanUgK(6781m.),,,,,,,,,,,,
Jomson (6335m.) 3,,,,,,,,,,,,
UAE,,,,,,,,,,,,
Kanchanjunga (8586m.) 26,,,,,1,,,,,,,
Ukraine,,,,,,,,,,,,
Langdung(6326m.),,,,,,,,,,,,
Lhotse (85U1S6Am.) 36,,1,1,,2,1,,,,,1,
Lhotse (856-16m.) 3,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,
Makalu (8463m.,,,,,,,,,,,,
Makalu S(8w4e6d3emn.),,,1,1,,,,,,,,
ManasluSr (i8 L1a6n3kma .) 134,1,,3,1,5,1,2,1,5,,1,1
Mt. EvereSspt a(8in848m.) 156,,3,,,,1,1,3,1,1,,
Mt. EvSeoruetsht( 8K8o4re8am.) 3,,2,1,,,,,,,,,
Mukot Himal (6087m.)  South Africa1,,,,,,,,,,,,
Mukot Peak (6087m.) 1,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,
Nupla Khang 5,,,1,,,,,,,,,
Singapore,,,,,,,,,,,,
Pankar Himal (6264m.),,,,,,,,,,,,
Russia,,,,,,,,,,,,
Peri Himal (6174m. 1,,,,,,,,,,,,
PumoriRomania,,,,,1,,,,,,,
Pumori (P7o1l6a1nmd),,,,3,,,,,,,,
Putha (7N2o4r6wma.y) 2,,,,,,,,,,,,
Saribung 4,,,,,,,,,,,,2
New Zealand,,,,,,,,,,,,
Saribung (6346m.) 1,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,
Nepal,,,,,,,,,,,,
